"work","title"
"http://data.carnegiehall.org/works/49660","Freuet euch des Lebens, Op. 340"
"http://data.carnegiehall.org/works/55648","The Official West Point March"
"http://data.carnegiehall.org/works/8462","Six Quartets: Nächtens, Op. 112, No. 2"
"http://data.carnegiehall.org/works/56318","Don Quixote, Op. 35: Variation No. 2"
"http://data.carnegiehall.org/works/63682","The King and I: March of the Siamese Children"
"http://data.carnegiehall.org/works/68802","Piririta"
"http://data.carnegiehall.org/works/69652","London Miniatures: Horse Guard's Parade"
"http://data.carnegiehall.org/works/83519","Serenade nach schwedischen Melodien: 2. Andante"
"http://data.carnegiehall.org/works/82779","I've Got Sympathy"
"http://data.carnegiehall.org/works/59034","Savitri"
"http://data.carnegiehall.org/works/69640","2 Songs, Op. 18"
"http://data.carnegiehall.org/works/66126","Ständchen"
"http://data.carnegiehall.org/works/67291","Where’s Charley?: Once in Love with Amy"
"http://data.carnegiehall.org/works/73488","Mosaico Mexicano"
"http://data.carnegiehall.org/works/76706","The Art of the Fugue, BWV 1080: Contrapunctus VI: Fuga a 4 voci in stile francese (stretto fugue)"
"http://data.carnegiehall.org/works/18160","Cello Concerto in D Major, H.VIIb:2"
"http://data.carnegiehall.org/works/16197","Tango Under the Fireworks"
"http://data.carnegiehall.org/works/24396","Interferences I"
"http://data.carnegiehall.org/works/28889","Five Partsongs from the Greek Anthology: After many a dusty mile, Op. 45, No. 3"
"http://data.carnegiehall.org/works/104286","Don't Wanna Be Lonely"
"http://data.carnegiehall.org/works/37253","Il faut aimer"
"http://data.carnegiehall.org/works/51177","Like Someone In Love"
"http://data.carnegiehall.org/works/68766","Corn Riggs (Scottish)"
"http://data.carnegiehall.org/works/88377","Rhapsody No. 6, ""Korean"""
"http://data.carnegiehall.org/works/91390","6 Choral Folk Songs, Op. 36b: 5. I Love My Love"
"http://data.carnegiehall.org/works/100839","Holiday Medley"
"http://data.carnegiehall.org/works/109867","Duet for Tubas"
"http://data.carnegiehall.org/works/15703","Diversion"
"http://data.carnegiehall.org/works/24852","Airs chantés: 2. Air champêtre"
"http://data.carnegiehall.org/works/57112","Edgar: What Hope of Future"
"http://data.carnegiehall.org/works/67936","Tearful Ripple (Taiwan)"
